,,Total Votes Cast,Total Ballots Cast,Registered Voters
Precinct,Marlowe 03,0,3810,4906
Precinct,Methodist-mill Swamp,0,1183,1409
Precinct,Mt. Olive,0,927,1220
Precinct,Mt. Vernon,0,516,622
Precinct,Myrtle Trace,0,1070,1356
Precinct,Myrtlewood 01,0,775,1274
Precinct,Myrtlewood 02,0,1247,1578
Precinct,Myrtlewood 03,0,1359,1768
Precinct,Nixons Xroads 01,0,2464,3204
Precinct,Nixons Xroads 02,0,2920,3754
Precinct,Nixons Xroads 03,0,1906,2295
Precinct,North Conway 01,0,1474,1925
Precinct,North Conway 02,0,834,1021
Precinct,Ocean Drive 01,0,2261,2719
Precinct,Ocean Drive 02,0,1454,1811
Precinct,Ocean Drive 03,0,1873,2193
Precinct,Ocean Forest 01,0,1217,1619
Precinct,Ocean Forest 02,0,3162,3796
Precinct,Ocean Forest 03,0,1163,1700
Precinct,Palmetto Bays,0,3799,4814
Precinct,Pawleys Swamp,0,417,609
Precinct,Pleasant View,0,481,625
Precinct,Poplar Hill,0,804,992
Precinct,Port Harrelson,0,424,574
Precinct,Provisional,0,194,0
Precinct,Racepath 01,0,940,1371
Precinct,Racepath 02,0,1233,1825
Precinct,Red Bluff,0,858,1167
Precinct,Red Hill 01,0,695,1176
Precinct,Red Hill 02,0,1689,2174
Precinct,River Oaks,0,3619,4918
Precinct,Salem,0,2241,2813
Precinct,Sea Oats 01,0,1058,1850
Precinct,Sea Oats 02,0,870,1369
Precinct,Sea Winds,0,2981,3928
Precinct,Shell,0,1507,1797
Precinct,Socastee 01,0,1273,1844
Precinct,Socastee 02,0,1365,1887
Precinct,Socastee 03,0,3940,4752
Precinct,Socastee 04,0,914,1260
Precinct,Surfside 01,0,1804,2437
Precinct,Surfside 02,0,900,1108
Precinct,Surfside 03,0,2269,2862
Precinct,Surfside 04,0,2753,3479
Precinct,Sweet Home,0,973,1344
Precinct,Tilly Swamp,0,2821,3387
Precinct,Toddville,0,1309,1602
Precinct,Waccamaw,0,3265,4425
Precinct,Wampee,0,2185,2746
Precinct,West Conway,0,560,789
Precinct,West Loris,0,620,897
Precinct,White Oak,0,597,751
Precinct,Wild Wing,0,4123,5444
Precinct,Windy Hill 01,0,1103,1463
Precinct,Windy Hill 02,0,2693,3224
County,Jasper,0,18382,26719
Precinct,Coosawhatchie,0,319,554
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,2,0
Precinct,Gillisonville,0,466,762
Precinct,Grahamville 01,0,1018,1533
Precinct,Grahamville 02,0,1511,2510
Precinct,Grays,0,572,852
Precinct,Hardeeville 01,0,602,1231
Precinct,Hardeeville 02,0,494,921
Precinct,Hardeeville 03,0,713,879
Precinct,Levy,0,1250,2115
Precinct,Margaritaville,0,3085,3306
Precinct,Okatie,0,701,1080
Precinct,Okatie 02,0,1217,1979
Precinct,Pineland,0,459,810
Precinct,Provisional,0,16,0
Precinct,Ridgeland 01,0,695,1175
Precinct,Ridgeland 02,0,674,1166
Precinct,Ridgeland 03,0,619,1027
Precinct,Sun City,0,3486,4010
Precinct,Tillman,0,483,809
County,Kershaw,0,33762,42019
Precinct,Airport,0,818,1093
Precinct,Antioch,0,625,748
Precinct,Bethune,0,826,1062
Precinct,Buffalo,0,1079,1267
Precinct,Camden No. 01,0,1222,1601
Precinct,Camden No. 02 & 03,0,267,333
Precinct,Camden No. 05,0,701,834
Precinct,Camden No. 05-a,0,367,474
Precinct,Camden No. 06,0,631,831
Precinct,Cassatt,0,1082,1411
Precinct,Charlotte Thompson,0,1185,1444
Precinct,Dobys Mill,0,1514,1894
Precinct,Elgin No. 01,0,1960,2361
Precinct,Elgin No. 02,0,1298,1623
Precinct,Elgin No. 03,0,1061,1299
Precinct,Elgin No. 04,0,1441,1839
Precinct,Elgin No. 05,0,1172,1455
Precinct,Elgin No. 06,0,972,1277
Precinct,Failsafe,0,11,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Hobkirk's Hill,0,1336,1642
Precinct,Liberty Hill,0,473,558
Precinct,Lugoff No. 01,0,939,1230
Precinct,Lugoff No. 02,0,1381,1697
Precinct,Lugoff No. 03,0,1212,1454
Precinct,Lugoff No. 04,0,1198,1402
Precinct,Malvern Hill,0,945,1221
Precinct,Provisional,0,48,0
Precinct,Rabons Xroads,0,1635,1947
Precinct,Riverdale,0,449,693
Precinct,Salt Pond,0,1053,1306
Precinct,Shaylors Hill,0,730,890
Precinct,Springdale,0,1687,2018
Precinct,Westville,0,1226,1550
Precinct,Whites Gardens,0,1218,1565
County,Lancaster,0,54831,68795
Precinct,6 Mile Creek,0,1509,1867
Precinct,521 North,0,1076,1364
Precinct,Antioch,0,627,785
Precinct,Black Horse Run,0,3739,5029
Precinct,Buford,0,1565,1910
Precinct,Camp Creek,0,673,795
Precinct,Carmel,0,424,514
Precinct,Chesterfield Ave,0,776,1280
Precinct,College Park,0,1247,1494
Precinct,Douglas,0,2076,2527
Precinct,Elgin,0,981,1173
Precinct,Erwin Farm,0,1152,1617
Precinct,Failsafe,0,37,0
Precinct,Failsafe Provisional,0,73,0
Precinct,Flat Creek,0,655,812
Precinct,Gold Hill,0,1586,1804
Precinct,Harrisburg,0,3549,4361
Precinct,Heath Springs,0,880,1101
Precinct,Hyde Park,0,1502,1901
Precinct,Jim Wilson,0,2153,2579
Precinct,Kershaw North,0,1122,1544
Precinct,Kershaw South,0,1115,1369
Precinct,Lake House,0,2328,2645
Precinct,Lancaster East,0,1361,2204
Precinct,Mcilwain,0,1663,2222
Precinct,Osceola,0,2859,3516
Precinct,Pleasant Hill,0,1029,1282
Precinct,Pleasant Valley,0,3253,4100
Precinct,Possum Hollow,0,2363,2937
Precinct,Provisional,0,153,0
Precinct,Rich Hill,0,950,1169
Precinct,River Road,0,2207,2679
Precinct,Riverside,0,553,714
Precinct,Springdale,0,1118,1811
Precinct,The Lodge,0,2485,2840
Precinct,Tradesville,0,1025,1236
Precinct,Unity,0,990,1243
Precinct,University,0,899,1105
Precinct,Van Wyck,0,1078,1266
County,Laurens,0,30367,39836
Precinct,Bailey,0,780,997
Precinct,Barksdale-Narnie,0,757,961
Precinct,Brewerton-princeton,0,586,709
Precinct,Clinton 01,0,890,1252
Precinct,Clinton 02,0,914,1228
Precinct,Clinton 03,0,1158,1403
Precinct,Clinton Mill,0,705,1168
Precinct,Cooks,0,1321,1832
Precinct,Cross Hill,0,1297,1664
Precinct,Ekom,0,514,609
Precinct,Failsafe,0,28,0
Precinct,Failsafe Provisional,0,59,0
Precinct,Gray Court,0,954,1287
Precinct,Greenpond,0,1268,1557
Precinct,Hickory Tavern,0,1881,2373
Precinct,Joanna,0,1195,1568
Precinct,Jones,0,2504,3155
Precinct,Laurens 01,0,392,609
Precinct,Laurens 02,0,231,440
Precinct,Laurens 03,0,490,874
Precinct,Laurens 04,0,454,717
Precinct,Laurens 05,0,1117,1416
Precinct,Laurens 06,0,901,1127
Precinct,Long Branch,0,946,1178
Precinct,Lydia Mill,0,794,1184
Precinct,Maddens,0,902,1132
Precinct,Martins-Poplar Springs,0,547,689
Precinct,Mountville,0,445,588
Precinct,Mt. Olive,0,835,1075
Precinct,Ora-lanford,0,709,903
Precinct,Owings,0,563,710
Precinct,Provisional,0,35,0
Precinct,Trinity Ridge,0,1082,1342
Precinct,Waterloo,0,1301,1629
Precinct,Wattsville,0,851,1233
Precinct,Youngs,0,961,1227
County,Lee,0,8119,10024
Precinct,Ashland/stokes Bridge,0,326,428
Precinct,Ashwood,0,441,543
Precinct,Bishopville 01,0,445,597
Precinct,Bishopville 02,0,462,616
Precinct,Bishopville 03,0,631,690
Precinct,Bishopville 04,0,644,898
Precinct,Cedar Creek,0,247,269
Precinct,Cypress,0,404,501
Precinct,Elliott,0,337,376
Precinct,Failsafe,0,4,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Hickory Hill,0,270,332
Precinct,Ionia,0,510,605
Precinct,Lynchburg,0,415,549
Precinct,Manville,0,393,568
Precinct,Mt. Clio,0,171,196
Precinct,Provisional,0,0,0
Precinct,Rattlesnake Springs,0,250,286
Precinct,Schrocks Mill/lucknow,0,348,409
Precinct,South Lynchburg,0,247,302
Precinct,Spring Hill,0,491,568
Precinct,St. Charles,0,663,790
Precinct,St. Matthews,0,135,146
Precinct,Turkey Creek,0,122,146
Precinct,Woodrow,0,163,209
County,Lexington,0,147971,190088
Precinct,7 Oaks,0,1151,1546
Precinct,Amicks Ferry,0,3377,3869
Precinct,Barr Road 01,0,1131,1389
Precinct,Barr Road 02,0,2997,3590
Precinct,Batesburg,0,1174,1715
Precinct,Beulah Church,0,2443,2836
Precinct,Boiling Springs,0,2049,2586
Precinct,Boiling Springs South,0,1053,1332
Precinct,Bush River,0,1198,1559
Precinct,Carolina Springs,0,1630,2101
Precinct,Cayce No. 01,0,1096,1506
Precinct,Cayce No. 02,0,1021,1556
Precinct,Cayce No. 02-A,0,916,1315
Precinct,Cayce No. 03,0,551,685
Precinct,Cedar Crest,0,1457,1891
Precinct,Chalk Hill,0,1961,3029
Precinct,Challedon,0,1066,1511
Precinct,Chapin,0,2607,3228
Precinct,Coldstream,0,1446,1794
Precinct,Congaree 01,0,1174,1664
Precinct,Congaree 02,0,822,1069
Precinct,Cromer,0,1058,1317
Precinct,Dreher Island,0,1454,1707
Precinct,Dutchman Shores,0,2938,3382
Precinct,Edenwood,0,1689,2125
Precinct,Edmund 01,0,890,1321
Precinct,Edmund 02,0,1375,1877
Precinct,Emmanuel Church,0,1525,1984
Precinct,Failsafe,0,122,0
Precinct,Failsafe Provisional,0,65,0
Precinct,Fairview,0,1019,1321
Precinct,Faith Church,0,1055,1342
Precinct,Gardendale,0,979,1354
Precinct,Gaston 01,0,858,1201
Precinct,Gaston 02,0,1007,1551
Precinct,Gilbert,0,1900,2309
Precinct,Grenadier,0,1139,1694
Precinct,Hollow Creek,0,2470,2905
Precinct,Hook's Store,0,1328,1940
Precinct,Irmo,0,1696,2254
Precinct,Kitti Wake,0,1232,1587
Precinct,Lake Murray 01,0,1866,2243
Precinct,Lake Murray 02,0,3076,3775
Precinct,Leaphart Road,0,751,1070
Precinct,Leesville,0,1706,2159
Precinct,Lexington No. 01,0,2282,2881
Precinct,Lexington No. 02,0,1539,2050
Precinct,Lexington No. 03,0,2683,3321
Precinct,Lexington No. 04,0,2298,3183
Precinct,Lincreek,0,1878,2424
Precinct,Mack-edisto,0,641,781
Precinct,Midway,0,1148,1363
Precinct,Mims,0,1021,1304
Precinct,Mount Horeb,0,2250,2604
Precinct,Mt. Hebron,0,1069,1379
Precinct,Murraywood,0,1616,1992
Precinct,Oakwood,0,2322,2938
Precinct,Old Barnwell Road,0,1348,1762
Precinct,Old Lexington,0,2648,3227
Precinct,Park Road 01,0,1796,2261
Precinct,Park Road 02,0,1072,1345
Precinct,Pelion 01,0,949,1305
Precinct,Pelion 02,0,1108,1459
Precinct,Pilgrim Church,0,2090,2620
Precinct,Pine Ridge 01,0,962,1195
Precinct,Pine Ridge 02,0,1563,2100
Precinct,Pineview,0,1373,1770
Precinct,Platt Springs 01,0,1005,1283
Precinct,Platt Springs 02,0,2811,3822
Precinct,Pond Branch,0,1588,2084
Precinct,Providence Church,0,2178,2533
Precinct,Provisional,0,138,0
Precinct,Quail Hollow,0,1560,1988
Precinct,Quail Valley,0,1565,2064
Precinct,Red Bank,0,3234,4240
Precinct,Red Bank South 01,0,1466,2012
Precinct,Red Bank South 02,0,1420,1780
Precinct,Ridge Road,0,1996,2306
Precinct,River Bluff,0,2705,3224
Precinct,Round Hill,0,3151,4052
Precinct,Saint David,0,2022,2598
Precinct,Saluda River,0,1251,1729
Precinct,Sand Hill,0,1046,1603
Precinct,Sandy Run,0,766,926
Precinct,Sharpes Hill,0,1323,1940
Precinct,Springdale,0,1636,2071
Precinct,Springdale South,0,461,638
Precinct,St. Michaels,0,1994,2300
Precinct,Summit,0,1070,1401
Precinct,Swansea 01,0,858,1133
Precinct,Swansea 02,0,1026,1458
Precinct,West Columbia No. 01,0,694,1012
Precinct,West Columbia No. 02,0,329,551
Precinct,West Columbia No. 03,0,630,776
Precinct,West Columbia No. 04,0,1052,1487
Precinct,Westover,0,1286,1530
Precinct,White Knoll,0,2050,2705
Precinct,Whitehall,0,1657,2080
Precinct,Woodland Hills,0,829,1309
County,Marion,0,13510,23610
Precinct,Brittons Neck,0,946,1441
Precinct,Centenary,0,898,1381
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Friendship,0,220,313
Precinct,Marion No. 01,0,688,1444
Precinct,Marion No. 02,0,978,1484
Precinct,Marion North,0,1029,1612
Precinct,Marion South,0,1643,2890
Precinct,Marion West,0,832,1239
Precinct,Nichols,0,456,2214
Precinct,Northeast Mullins,0,1252,2157
Precinct,Northwest Mullins,0,866,1646
Precinct,Provisional,0,56,0
Precinct,Rains,0,500,809
Precinct,Sellers,0,144,242
Precinct,Southeast Mullins,0,975,1477
Precinct,Southwest Mullins,0,1021,1620
Precinct,Temperance,0,657,1080
Precinct,Zion,0,349,561
County,Marlboro,0,10243,15544
Precinct,Adamsville,0,307,430
Precinct,Blenheim,0,206,298
Precinct,Brightsville,0,454,681
Precinct,Brownsville,0,242,311
Precinct,Clio,0,903,1337
Precinct,E Bennettsville,0,910,1610
Precinct,East Mccoll,0,504,767
Precinct,Failsafe,0,2,0
Precinct,Failsafe Provisional,0,85,0
Precinct,Mccoll,0,750,1231
Precinct,N Bennettsville,0,1742,2508
Precinct,Provisional,0,0,0
Precinct,Quicks Xroads,0,620,934
Precinct,Red Hill,0,827,1175
Precinct,S Bennettsville,0,482,866
Precinct,Tatum,0,268,376
Precinct,W Bennettsville,0,1099,1824
Precinct,Wallace,0,842,1196
County,McCormick,0,6221,7621
Precinct,Bethany,0,244,298
Precinct,Clarks Hill,0,389,530
Precinct,Failsafe,0,2,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Mccormick No. 01,0,851,1144
Precinct,Mccormick No. 02,0,557,799
Precinct,Modoc,0,235,272
Precinct,Monticello,0,695,761
Precinct,Mt. Carmel,0,132,182
Precinct,Parksville,0,165,206
Precinct,Plum Branch,0,612,764
Precinct,Provisional,0,4,0
Precinct,Savannah,0,2154,2436
Precinct,Willington,0,181,229
County,Newberry,0,18247,23401
Precinct,Beth-Eden,0,449,575
Precinct,Bush River,0,266,299
Precinct,Chappells,0,622,717
Precinct,Consolidated 05,0,884,1071
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,7,0
Precinct,Fairview,0,1700,1967
Precinct,Hartford,0,751,981
Precinct,Helena,0,493,698
Precinct,Johnstone,0,387,495
Precinct,Kinards-Jalapa,0,370,438
Precinct,Little Mountain,0,1203,1431
Precinct,Maybinton,0,49,58
Precinct,Mt. Bethel-Garmany,0,861,1190
Precinct,Newberry Ward 01,0,260,394
Precinct,Newberry Ward 02,0,701,933
Precinct,Newberry Ward 03,0,536,772
Precinct,Newberry Ward 04,0,275,443
Precinct,Newberry Ward 05,0,261,538
Precinct,Newberry Ward 06,0,780,1113
Precinct,O'neal,0,1399,1633
Precinct,Oakland,0,348,669
Precinct,Peak,0,102,128
Precinct,Pomaria,0,501,595
Precinct,Prosperity City,0,602,784
Precinct,Prosperity Outside,0,738,957
Precinct,Provisional,0,0,0
Precinct,Silverstreet,0,583,688
Precinct,St. Phillips-Jolly Street,0,877,1081
Precinct,Stoney Hill,0,706,793
Precinct,Wheeland,0,420,482
Precinct,Whitmire City,0,536,745
Precinct,Whitmire Outside,0,580,733
County,Oconee,0,42553,53441
Precinct,Bountyland,0,1389,1733
Precinct,Earles Grove,0,728,907
Precinct,Failsafe,0,26,0
Precinct,Failsafe Provisional,0,40,0
Precinct,Fair Play,0,918,1114
Precinct,Friendship,0,1518,2003
Precinct,Holly Springs,0,299,374
Precinct,Keowee,0,2054,2375
Precinct,Long Creek,0,371,449
Precinct,Madison,0,470,627
Precinct,Mountain Rest,0,894,1039
Precinct,New Hope,0,2535,2884
Precinct,Newry Corinth,0,240,310
Precinct,Oakway,0,1124,1436
Precinct,Provisional,0,24,0
Precinct,Ravenel,0,1902,2399
Precinct,Return,0,649,809
Precinct,Richland,0,919,1120
Precinct,Salem,0,1920,2375
Precinct,Seneca 01,0,1968,2726
Precinct,Seneca 02,0,1607,2175
Precinct,Seneca 03,0,1196,1522
Precinct,Seneca 04,0,1888,2693
Precinct,Shiloh,0,915,1249
Precinct,South Union,0,1407,1736
Precinct,Stamp Creek,0,2512,2947
Precinct,Tamassee,0,1024,1204
Precinct,Tokeena-Providence,0,1001,1277
Precinct,Utica,0,504,740
Precinct,Walhalla 01,0,2947,3550
Precinct,Walhalla 02,0,1999,2686
Precinct,West Union,0,1731,2155
Precinct,Westminster 01,0,2392,2963
Precinct,Westminster 02,0,1442,1864
County,Orangeburg,0,37174,58319
Precinct,4 Holes,0,383,548
Precinct,Bethel,0,445,666
Precinct,Bolentown,0,804,1207
Precinct,Bowman 01,0,907,1377
Precinct,Bowman 02,0,560,790
Precinct,Branchville 01,0,714,1011
Precinct,Branchville 02,0,325,450
Precinct,Brookdale,0,938,1296
Precinct,Cope,0,481,691
Precinct,Cordova 01,0,955,1441
Precinct,Cordova 02,0,865,1484
Precinct,Edisto,0,736,985
Precinct,Elloree 01,0,651,993
Precinct,Elloree 02,0,453,691
Precinct,Eutawville 01,0,1052,1536
Precinct,Eutawville 02,0,1188,1834
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,1,0
Precinct,Holly Hill 01,0,1266,1930
Precinct,Holly Hill 02,0,1141,1859
Precinct,Jamison,0,1220,1841
Precinct,Limestone 01,0,1055,1645
Precinct,Limestone 02,0,1126,1662
Precinct,Neeses-livingston,0,747,1116
Precinct,Nix,0,637,1167
Precinct,North 01,0,817,1205
Precinct,North 02,0,904,1264
Precinct,Norway,0,835,1223
Precinct,Orangeburg Ward 01,0,412,650
Precinct,Orangeburg Ward 02,0,237,559
Precinct,Orangeburg Ward 03,0,457,987
Precinct,Orangeburg Ward 04,0,285,1404
Precinct,Orangeburg Ward 05,0,251,516
Precinct,Orangeburg Ward 06,0,379,750
Precinct,Orangeburg Ward 07,0,547,733
Precinct,Orangeburg Ward 08,0,431,645
Precinct,Orangeburg Ward 09,0,343,544
Precinct,Orangeburg Ward 10,0,612,909
Precinct,Pinehill,0,720,1107
Precinct,Providence,0,708,1078
Precinct,Provisional,0,22,0
Precinct,Rowesville,0,386,580
Precinct,Santee 01,0,1189,1706
Precinct,Santee 02,0,740,1155
Precinct,Springfield,0,816,1190
Precinct,Suburban 01,0,282,586
Precinct,Suburban 02,0,325,626
Precinct,Suburban 03,0,808,1355
Precinct,Suburban 04,0,191,417
Precinct,Suburban 05,0,683,1166
Precinct,Suburban 06,0,486,853
Precinct,Suburban 07,0,1515,1979
Precinct,Suburban 08,0,604,799
Precinct,Suburban 09,0,836,1460
Precinct,Vance,0,1033,1538
Precinct,Whittaker,0,670,1115
County,Pickens,0,60822,76308
Precinct,6 Mile Mountain,0,1300,1513
Precinct,9 Forks,0,1183,1386
Precinct,Abel,0,545,786
Precinct,Albert R. Lewis,0,1143,1333
Precinct,Arial Mill,0,794,1037
Precinct,Brushy Creek,0,1475,1753
Precinct,Calhoun,0,619,1022
Precinct,Cedar Rock,0,1030,1230
Precinct,Clemson,0,1803,2165
Precinct,Crescent Hill,0,1035,1261
Precinct,Crestview,0,1265,1433
Precinct,Crossroads,0,1108,1336
Precinct,Crosswell,0,1133,1434
Precinct,Dacusville,0,901,1070
Precinct,Easley,0,906,1197
Precinct,East Liberty,0,836,1068
Precinct,East Pickens,0,976,1189
Precinct,Failsafe,0,95,0
Precinct,Failsafe Provisional,0,77,0
Precinct,Flat Rock,0,1046,1310
Precinct,Forest Acres,0,867,1159
Precinct,Fruit Mountain,0,639,892
Precinct,Georges Creek,0,839,1089
Precinct,Glassy Mountain,0,985,1254
Precinct,Griffin,0,1253,1504
Precinct,Holly Springs,0,1395,1624
Precinct,Issaqueena,0,633,861
Precinct,Lawrence Chapel,0,1025,1210
Precinct,Lenhardt,0,1433,1704
Precinct,McAllister,0,818,1078
Precinct,Mckissick,0,876,1167
Precinct,Morrison,0,865,1183
Precinct,Mountain View,0,1789,2117
Precinct,Norris,0,942,1192
Precinct,North Central,0,962,1190
Precinct,North Liberty,0,862,1134
Precinct,North Pickens,0,1125,1379
Precinct,Pendleton,0,890,1102
Precinct,Pickensville,0,917,1184
Precinct,Pike,0,779,1044
Precinct,Pope Field,0,1086,1377
Precinct,Praters Creek,0,812,978
Precinct,Provisional,0,119,0
Precinct,Pumpkintown,0,1379,1636
Precinct,Rices Creek,0,1006,1240
Precinct,Rock Springs,0,1107,1433
Precinct,Saluda,0,853,1136
Precinct,Sheffield,0,1141,1367
Precinct,Simpson,0,728,1096
Precinct,Sitton,0,1136,1341
Precinct,Six Mile,0,1276,1513
Precinct,Skelton,0,916,1149
Precinct,Smith Grove,0,684,889
Precinct,South Central,0,811,1331
Precinct,South Pickens,0,914,1189
Precinct,Stone Church,0,973,1188
Precinct,Tri County,0,449,552
Precinct,University,0,406,535
Precinct,Vinland,0,845,1045
Precinct,West Central,0,638,1121
Precinct,West Liberty,0,1090,1306
Precinct,West Pickens,0,1138,1467
Precinct,Woodside,0,1329,1757
Precinct,Zion,0,822,1072
County,Richland,0,183839,292272
Precinct,Arcadia,0,1114,1618
Precinct,Ardincaple,0,259,516
Precinct,Ballentine 01,0,1267,1787
Precinct,Ballentine 02,0,1700,2288
Precinct,Beatty Road,0,370,1036
Precinct,Bluff,0,1181,2042
Precinct,Blythewood 01,0,1901,2523
Precinct,Blythewood 02,0,2061,2856
Precinct,Blythewood 03,0,2692,3530
Precinct,Bookman,0,2305,3421
Precinct,Brandon 01,0,1268,2192
Precinct,Brandon 02,0,1089,2242
Precinct,Briarwood,0,1550,2753
Precinct,Bridge Creek,0,1610,2372
Precinct,Caughman Road,0,1432,2121
Precinct,College Place,0,781,1596
Precinct,Cooper,0,943,1205
Precinct,Dennyside,0,661,1173
Precinct,Dentsville,0,1176,2235
Precinct,Dutch Fork 01,0,1200,1537
Precinct,Dutch Fork 02,0,1300,1792
Precinct,Dutch Fork 03,0,2039,2631
Precinct,Dutch Fork 04,0,1390,1953
Precinct,East Forest Acres,0,1162,1514
Precinct,Eastover,0,763,1277
Precinct,Edgewood,0,755,1899
Precinct,Estates,0,1522,2199
Precinct,Failsafe,0,70,0
Precinct,Failsafe Provisional,0,79,0
Precinct,Fairlawn,0,2002,3142
Precinct,Fairwold,0,498,879
Precinct,Friarsgate 01,0,1283,1901
Precinct,Friarsgate 02,0,1089,1614
Precinct,Gadsden,0,931,1401
Precinct,Garners,0,626,989
Precinct,Greenview,0,996,1684
Precinct,Gregg Park,0,1260,2274
Precinct,Hampton,0,1077,1904
Precinct,Harbison 01,0,1382,2477
Precinct,Harbison 02,0,984,1531
Precinct,Hopkins 01,0,925,1502
Precinct,Hopkins 02,0,1269,1863
Precinct,Horrell Hill,0,1611,2533
Precinct,Hunting Creek,0,439,603
Precinct,Keels 01,0,1176,2204
Precinct,Keels 02,0,860,1817
Precinct,Keenan,0,1208,1894
Precinct,Kelly Mill,0,2008,2874
Precinct,Killian,0,2370,3626
Precinct,Kingswood,0,1721,3077
Precinct,Lake Carolina,0,2730,4045
Precinct,Lincolnshire,0,1080,2121
Precinct,Longcreek,0,4854,6490
Precinct,Longleaf,0,1190,1930
Precinct,Lykesland,0,1387,2013
Precinct,Mallet Hill,0,1760,2896
Precinct,Mcentire,0,603,874
Precinct,Meadowfield,0,1307,1878
Precinct,Meadowlake,0,1175,2192
Precinct,Midway,0,1521,2967
Precinct,Mill Creek,0,961,1541
Precinct,Monticello,0,1262,1884
Precinct,North Forest Acres,0,956,1482
Precinct,North Springs 01,0,1076,1527
Precinct,North Springs 02,0,2108,3250
Precinct,North Springs 03,0,1484,2228
Precinct,Oak Pointe 01,0,1058,1464
Precinct,Oak Pointe 02,0,591,815
Precinct,Oak Pointe 03,0,818,1198
Precinct,Oakwood,0,761,1057
Precinct,Old Friarsgate,0,975,1411
Precinct,Olympia,0,912,2461
Precinct,Parkridge 01,0,702,1129
Precinct,Parkridge 02,0,512,1090
Precinct,Parkway 01,0,1552,2444
Precinct,Parkway 02,0,1646,2505
Precinct,Parkway 03,0,1366,2000
Precinct,Pennington 01,0,855,1082
Precinct,Pennington 02,0,1182,1600
Precinct,Pine Grove,0,884,1729
Precinct,Pine Lakes 01,0,911,1416
Precinct,Pine Lakes 02,0,1204,2003
Precinct,Pinewood,0,1487,2276
Precinct,Polo Road,0,1654,2826
Precinct,Pontiac 01,0,2826,4198
Precinct,Pontiac 02,0,3346,4270
Precinct,Provisional,0,162,0
Precinct,Rice Creek 01,0,1245,2041
Precinct,Rice Creek 02,0,2066,3229
Precinct,Ridge View 01,0,2010,2980
Precinct,Ridge View 02,0,2242,3596
Precinct,Ridgewood,0,381,681
Precinct,River Springs 01,0,927,1232
Precinct,River Springs 02,0,1097,1577
Precinct,River Springs 03,0,1258,1711
Precinct,Riverside,0,590,1421
Precinct,Riverwalk,0,2125,2994
Precinct,Round Top,0,535,761
Precinct,Sandlapper,0,2231,3312
Precinct,Satchelford,0,1108,1492
Precinct,Skyland,0,555,1271
Precinct,South Beltline,0,851,1695
Precinct,South Forest Acres,0,1236,1703
Precinct,Spring Hill,0,2637,3184
Precinct,Spring Valley,0,2096,3054
Precinct,Spring Valley West,0,1832,2978
Precinct,Springville 01,0,1751,2347
Precinct,Springville 02,0,1630,2124
Precinct,St. Andrews,0,742,1311
Precinct,Trenholm Road,0,798,1175
Precinct,Trinity,0,1132,1834
Precinct,Valhalla,0,1528,2423
Precinct,Valley State Park,0,2353,3850
Precinct,Walden,0,575,1381
Precinct,Ward 01,0,736,1554
Precinct,Ward 02,0,334,1287
Precinct,Ward 03,0,948,1688
Precinct,Ward 04,0,1199,1776
Precinct,Ward 05,0,554,1578
Precinct,Ward 06,0,985,1429
Precinct,Ward 07,0,495,1238
Precinct,Ward 08,0,123,1644
Precinct,Ward 09,0,393,1105
Precinct,Ward 10,0,1053,1599
Precinct,Ward 11,0,803,1503
Precinct,Ward 12,0,1089,1634
Precinct,Ward 13,0,1544,2219
Precinct,Ward 14,0,1265,1727
Precinct,Ward 15,0,845,1109
Precinct,Ward 16,0,1149,1408
Precinct,Ward 17,0,1352,1749
Precinct,Ward 18,0,673,1321
Precinct,Ward 19,0,548,1376
Precinct,Ward 20,0,1113,1885
Precinct,Ward 21,0,841,1691
Precinct,Ward 22,0,803,1558
Precinct,Ward 23,0,739,1130
Precinct,Ward 24,0,864,1099
Precinct,Ward 25,0,1326,1673
Precinct,Ward 26,0,834,1842
Precinct,Ward 29,0,725,1425
Precinct,Ward 30,0,715,1582
Precinct,Ward 31,0,480,1063
Precinct,Ward 32,0,485,984
Precinct,Ward 33,0,517,1037
Precinct,Ward 34,0,820,1277
Precinct,Webber,0,773,1196
Precinct,Westminster,0,751,1947
Precinct,Whitewell,0,704,1872
Precinct,Wildewood,0,2171,3265
Precinct,Woodfield,0,1478,2736
Precinct,Woodlands,0,1868,2320
County,Saluda,0,9059,0
Precinct,Centennial,0,374,0
Precinct,Failsafe,0,0,0
Precinct,Failsafe Provisional,0,0,0
Precinct,Fruit Hill,0,825,0
Precinct,Higgins-Zoar,0,425,0
Precinct,Holly,0,1208,0
Precinct,Hollywood,0,1059,0
Precinct,Holstons,0,688,0
Precinct,Pleasant Grove,0,778,0
Precinct,Provisional,0,1,0
Precinct,Richland,0,446,0
Precinct,Ridge Spring-Monetta,0,535,0
Precinct,Saluda No. 01,0,747,0
Precinct,Saluda No. 02,0,714,0
Precinct,Sardis,0,830,0
Precinct,Ward,0,429,0
County,Spartanburg,0,156353,206828
