,,Donald J. Trump and Michael R. Pence,Joseph R Biden and Kamala D. Harris,Jo Jorgensen and Jeremy Spike Cohen,Howie Hawkins and Angela Walker,Roque Rocky De La Fuente and Darcy G. Richardson,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,Alliance,,,
Precinct,Charleston 12,225,862,20,4,1,1112,7,1119
Precinct,Charleston 13,95,719,10,5,0,829,10,839
Precinct,Charleston 14,133,510,14,7,0,664,3,667
Precinct,Charleston 15,101,634,8,8,2,753,16,769
Precinct,Charleston 16,114,692,17,3,1,827,9,836
Precinct,Charleston 17,126,711,22,6,1,866,8,874
Precinct,Charleston 18,126,836,10,10,0,982,12,994
Precinct,Charleston 19,74,499,3,4,0,580,8,588
Precinct,Charleston 20,183,829,17,2,1,1032,6,1038
Precinct,Charleston 21,49,477,1,2,0,529,5,534
Precinct,Christ Church,346,379,7,2,0,734,6,740
Precinct,Deer Park 01a,252,617,16,7,0,892,12,904
Precinct,Deer Park 01b,860,1192,30,11,2,2095,12,2107
Precinct,Deer Park 02a,679,1042,26,9,1,1757,10,1767
Precinct,Deer Park 02b,359,812,21,3,1,1196,8,1204
Precinct,Deer Park 02c,365,413,15,3,1,797,8,805
Precinct,Deer Park 03,412,1038,20,2,2,1474,4,1478
Precinct,Edisto Island,636,681,11,1,1,1330,19,1349
Precinct,Failsafe,33,92,0,2,0,127,0,127
Precinct,Failsafe Provisional,127,164,4,2,1,298,3,301
Precinct,Folly Beach 01,334,407,11,3,0,755,8,763
Precinct,Folly Beach 02,489,492,9,4,0,994,5,999
Precinct,Isle Of Palms 01a,513,325,20,3,0,861,14,875
Precinct,Isle of Palms 01b,659,482,22,4,1,1168,13,1181
Precinct,Isle of Palms 01c,852,539,18,1,0,1410,14,1424
Precinct,James Island 01a,685,968,34,6,0,1693,16,1709
Precinct,James Island 01b,140,670,8,8,0,826,15,841
Precinct,James Island 03,81,608,2,3,0,694,12,706
Precinct,James Island 05a,637,542,16,4,0,1199,12,1211
Precinct,James Island 05b,418,245,12,2,1,678,5,683
Precinct,James Island 06,541,773,25,3,0,1342,16,1358
Precinct,James Island 07,736,907,28,2,2,1675,7,1682
Precinct,James Island 08a,450,770,18,3,1,1242,22,1264
Precinct,James Island 08b,617,855,24,6,1,1503,6,1509
Precinct,James Island 09,557,631,15,4,1,1208,12,1220
Precinct,James Island 10,563,642,20,5,1,1231,5,1236
Precinct,James Island 11,760,735,31,6,0,1532,12,1544
Precinct,James Island 12,593,515,15,5,1,1129,6,1135
Precinct,James Island 13,711,647,25,1,0,1384,9,1393
Precinct,James Island 14,390,326,9,1,0,726,6,732
Precinct,James Island 15,518,729,29,8,0,1284,7,1291
Precinct,James Island 17,585,757,26,0,1,1369,19,1388
Precinct,James Island 19,488,726,20,4,0,1238,8,1246
Precinct,James Island 20,464,744,26,4,0,1238,8,1246
Precinct,James Island 22,513,700,23,5,0,1241,10,1251
Precinct,Johns Island 01a,883,609,17,3,2,1514,17,1531
Precinct,Johns Island 01b,692,1019,24,5,1,1741,20,1761
Precinct,Johns Island 02,2167,2087,91,10,2,4357,22,4379
Precinct,Johns Island 03a,1813,1628,54,10,0,3505,23,3528
Precinct,Johns Island 03b,626,720,10,3,2,1361,15,1376
Precinct,Johns Island 04,393,532,14,0,1,940,7,947
Precinct,Kiawah Island,832,748,17,2,4,1603,21,1624
Precinct,Ladson,795,1306,28,7,1,2137,11,2148
Precinct,Lincolnville,596,816,11,9,2,1434,10,1444
Precinct,Mcclellanville,449,888,11,3,0,1351,9,1360
Precinct,Mt. Pleasant 01,641,635,12,5,0,1293,20,1313
Precinct,Mt. Pleasant 02,466,416,15,3,0,900,3,903
Precinct,Mt. Pleasant 03,595,750,23,3,1,1372,10,1382
Precinct,Mt. Pleasant 04,626,634,17,2,1,1280,12,1292
Precinct,Mt. Pleasant 05,625,466,16,3,2,1112,10,1122
Precinct,Mt. Pleasant 06,837,747,31,7,0,1622,17,1639
Precinct,Mt. Pleasant 07,434,389,13,1,3,840,5,845
Precinct,Mt. Pleasant 08,372,371,13,1,0,757,7,764
Precinct,Mt. Pleasant 09,480,412,18,4,1,915,6,921
Precinct,Mt. Pleasant 10,558,380,14,4,1,957,14,971
Precinct,Mt. Pleasant 11,569,444,15,3,0,1031,5,1036
Precinct,Mt. Pleasant 12,988,995,19,8,0,2010,12,2022
Precinct,Mt. Pleasant 13,374,406,14,2,0,796,9,805
Precinct,Mt. Pleasant 14,486,483,23,3,0,995,7,1002
Precinct,Mt. Pleasant 15,952,1099,33,8,0,2092,11,2103
Precinct,Mt. Pleasant 16,411,244,14,2,1,672,9,681
Precinct,Mt. Pleasant 17,1300,1003,34,7,2,2346,13,2359
Precinct,Mt. Pleasant 18,606,412,18,5,0,1041,9,1050
Precinct,Mt. Pleasant 19,820,826,16,3,1,1666,13,1679
Precinct,Mt. Pleasant 20,604,594,25,2,1,1226,22,1248
Precinct,Mt. Pleasant 21,714,624,9,6,1,1354,21,1375
Precinct,Mt. Pleasant 22,757,726,19,3,0,1505,14,1519
Precinct,Mt. Pleasant 23,692,824,21,7,2,1546,8,1554
Precinct,Mt. Pleasant 24,340,317,12,4,0,673,4,677
Precinct,Mt. Pleasant 25,542,376,10,0,0,928,10,938
Precinct,Mt. Pleasant 26,21,463,1,2,1,488,6,494
Precinct,Mt. Pleasant 27,1362,1048,35,5,1,2451,21,2472
Precinct,Mt. Pleasant 28,556,449,20,1,0,1026,12,1038
Precinct,Mt. Pleasant 29,169,120,0,2,0,291,0,291
Precinct,Mt. Pleasant 30,984,746,17,7,6,1760,17,1777
Precinct,Mt. Pleasant 31,645,628,10,3,1,1287,7,1294
Precinct,Mt. Pleasant 32,1520,837,32,5,1,2395,13,2408
Precinct,Mt. Pleasant 33,2342,1381,42,15,1,3781,27,3808
Precinct,Mt. Pleasant 34,841,629,9,3,2,1484,17,1501
Precinct,Mt. Pleasant 35,2587,1703,53,9,4,4356,37,4393
Precinct,Mt. Pleasant 36,645,696,24,10,3,1378,12,1390
Precinct,Mt. Pleasant 37,1399,1524,32,5,2,2962,21,2983
Precinct,Mt. Pleasant 38,919,610,9,4,0,1542,15,1557
Precinct,Mt. Pleasant 39,2122,1269,45,3,0,3439,27,3466
Precinct,North Charleston 01,31,510,3,1,0,545,3,548
Precinct,North Charleston 02,19,292,0,0,1,312,5,317
Precinct,North Charleston 03,518,412,16,3,1,950,8,958
Precinct,North Charleston 04,92,683,5,3,0,783,11,794
Precinct,North Charleston 05,88,1038,5,4,0,1135,14,1149
Precinct,North Charleston 06,35,767,5,4,2,813,15,828
Precinct,North Charleston 07,37,635,7,7,2,688,10,698
Precinct,North Charleston 08,195,526,22,3,1,747,7,754
Precinct,North Charleston 09,322,753,21,8,0,1104,11,1115
Precinct,North Charleston 10,130,600,9,2,1,742,9,751
Precinct,North Charleston 11,273,422,14,4,2,715,4,719
Precinct,North Charleston 12,302,492,26,2,3,825,7,832
Precinct,North Charleston 13,68,459,1,1,1,530,6,536
Precinct,North Charleston 14,153,356,15,3,0,527,3,530
Precinct,North Charleston 15,95,689,8,5,0,797,12,809
Precinct,North Charleston 16,140,545,14,5,1,705,8,713
Precinct,North Charleston 17,54,434,5,3,0,496,7,503
Precinct,North Charleston 18,232,867,10,2,1,1112,12,1124
Precinct,North Charleston 19,113,634,6,2,0,755,6,761
Precinct,North Charleston 20,244,314,6,5,1,570,2,572
Precinct,North Charleston 21,237,631,13,4,1,886,6,892
Precinct,North Charleston 22,196,638,8,3,3,848,7,855
Precinct,North Charleston 23,494,953,22,8,2,1479,6,1485
Precinct,North Charleston 24,321,1334,23,5,2,1685,20,1705
Precinct,North Charleston 25,56,353,5,1,0,415,9,424
Precinct,North Charleston 26,37,195,0,2,0,234,4,238
Precinct,North Charleston 27,157,454,4,2,2,619,4,623
Precinct,North Charleston 28,84,370,5,3,0,462,4,466
Precinct,North Charleston 29,156,301,6,4,0,467,2,469
Precinct,North Charleston 30,277,978,8,6,0,1269,17,1286
Precinct,Provisional,210,229,7,4,1,451,10,461
Precinct,St. Andrews 01,173,355,5,0,1,534,4,538
Precinct,St. Andrews 02,277,573,17,0,1,868,3,871
Precinct,St. Andrews 03,186,895,18,5,2,1106,17,1123
Precinct,St. Andrews 04,580,652,24,3,0,1259,9,1268
Precinct,St. Andrews 05,432,676,17,4,0,1129,13,1142
Precinct,St. Andrews 06,564,434,12,2,1,1013,13,1026
Precinct,St. Andrews 07,705,690,31,4,1,1431,10,1441
Precinct,St. Andrews 08,108,532,8,2,0,650,9,659
Precinct,St. Andrews 09,63,793,9,6,1,872,12,884
Precinct,St. Andrews 10,289,539,15,3,1,847,5,852
Precinct,St. Andrews 11,413,358,13,2,0,786,10,796
Precinct,St. Andrews 12,428,434,31,2,0,895,14,909
Precinct,St. Andrews 13,372,471,13,2,1,859,4,863
Precinct,St. Andrews 14,437,626,18,3,1,1085,13,1098
Precinct,St. Andrews 15,162,773,13,8,0,956,5,961
Precinct,St. Andrews 16,399,442,21,4,2,868,4,872
Precinct,St. Andrews 17,705,601,20,5,0,1331,16,1347
Precinct,St. Andrews 18,304,958,19,3,1,1285,11,1296
Precinct,St. Andrews 19,22,235,4,0,0,261,5,266
Precinct,St. Andrews 20,611,1085,31,8,2,1737,12,1749
Precinct,St. Andrews 21,256,344,9,1,2,612,8,620
Precinct,St. Andrews 22,528,416,16,3,0,963,7,970
Precinct,St. Andrews 23,271,407,16,3,3,700,4,704
Precinct,St. Andrews 24,300,604,12,2,1,919,11,930
Precinct,St. Andrews 25,300,666,17,5,0,988,6,994
Precinct,St. Andrews 26,443,608,24,5,0,1080,6,1086
Precinct,St. Andrews 27,1355,1923,79,12,6,3375,21,3396
Precinct,St. Andrews 28,1109,1336,47,6,2,2500,19,2519
Precinct,St. Andrews 29,1170,1387,58,13,3,2631,16,2647
Precinct,St. Andrews 30,616,719,33,3,1,1372,7,1379
Precinct,St. Andrews 31,447,447,26,4,2,926,6,932
Precinct,St. Andrews 32,503,399,17,5,0,924,5,929
Precinct,St. Andrews 33,365,253,13,3,1,635,4,639
Precinct,St. Andrews 34,1043,822,27,5,0,1897,12,1909
Precinct,St. Andrews 35,822,580,25,4,0,1431,16,1447
Precinct,St. Andrews 36,713,585,22,6,0,1326,4,1330
Precinct,St. Andrews 37,1684,1751,62,14,2,3513,17,3530
Precinct,St. Pauls 01,174,449,10,2,0,635,11,646
Precinct,St. Pauls 02a,279,381,5,2,0,667,8,675
Precinct,St. Pauls 02b,423,652,7,4,0,1086,21,1107
Precinct,St. Pauls 03,1116,600,7,2,2,1727,20,1747
Precinct,St. Pauls 04,288,948,13,7,1,1257,15,1272
Precinct,St. Pauls 05,427,411,9,1,1,849,10,859
Precinct,St. Pauls 06,1006,727,9,3,1,1746,21,1767
Precinct,Sullivans Island,676,793,20,2,0,1491,6,1497
Precinct,Town of Seabrook Island,900,840,10,2,1,1753,20,1773
Precinct,Wadmalaw Island 01,371,541,10,1,0,923,7,930
Precinct,Wadmalaw Island 02,304,584,6,3,1,898,18,916
County,Cherokee,18043,6983,186,48,10,25270,123,25393
Precinct,99 and Cherokee Falls,626,64,2,0,0,692,4,696
Precinct,Allens,698,60,1,3,0,762,2,764
Precinct,Alma Mill,517,549,8,2,0,1076,6,1082
Precinct,Antioch and Kings Creek,866,102,5,1,0,974,4,978
Precinct,Ashworth,764,120,8,2,0,894,2,896
Precinct,Blacksburg Ward No. 01,491,192,7,2,1,693,2,695
Precinct,Blacksburg Ward No. 02,789,151,13,3,0,956,6,962
Precinct,Draytonville,899,243,11,2,1,1156,4,1160
Precinct,Ezells and Butler,930,167,9,1,0,1107,2,1109
Precinct,Failsafe,72,29,0,0,0,101,0,101
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Gaffney Ward No. 01,148,294,2,1,0,445,2,447
Precinct,Gaffney Ward No. 02,180,577,6,4,1,768,10,778
Precinct,Gaffney Ward No. 03,122,617,6,2,1,748,8,756
Precinct,Gaffney Ward No. 04,511,526,8,1,2,1048,11,1059
Precinct,Gaffney Ward No. 05,493,292,8,0,1,794,6,800
Precinct,Gaffney Ward No. 06,626,287,7,0,1,921,5,926
Precinct,Goucher and Thicketty,874,135,6,0,0,1015,3,1018
Precinct,Grassy Pond,1449,363,12,4,0,1828,4,1832
Precinct,Holly Grove-Buffalo,773,115,12,2,1,903,6,909
Precinct,Limestone Mill,278,232,1,2,0,513,7,520
Precinct,Littlejohns and Sarratt,270,34,0,0,0,304,2,306
Precinct,Macedonia,946,213,8,5,0,1172,5,1177
Precinct,Morgan,855,141,8,3,0,1007,0,1007
Precinct,Musgrove Mill,740,314,7,1,0,1062,7,1069
Precinct,Pleasant Grove,374,383,3,2,0,762,3,765
Precinct,Pleasant Meadows,150,409,3,3,0,565,4,569
Precinct,Provisional,3,2,0,0,0,5,0,5
Precinct,Timber Ridge,677,75,7,0,1,760,2,762
Precinct,White Plains,810,158,8,1,0,977,2,979
Precinct,Wilkinsville and Metcalf,408,22,2,0,0,432,2,434
Precinct,Woods,704,117,8,1,0,830,2,832
County,Chester,8660,6941,108,37,11,15757,155,15912
Precinct,Baldwin Mill,361,435,1,3,0,800,10,810
Precinct,Baton Rouge,428,125,2,0,1,556,7,563
Precinct,Beckhamville,388,272,3,0,1,664,11,675
Precinct,Blackstock,318,203,0,1,0,522,10,532
Precinct,Chester Ward 01,334,768,14,2,2,1120,12,1132
Precinct,Chester Ward 02,125,503,3,2,0,633,7,640
Precinct,Chester Ward 03,512,567,13,3,1,1096,6,1102
Precinct,Chester Ward 04,190,477,3,4,0,674,8,682
Precinct,Chester Ward 05,513,267,4,0,0,784,8,792
Precinct,Edgemoor,632,220,8,3,0,863,7,870
Precinct,Eureka Mill,422,685,6,4,3,1120,11,1131
Precinct,Failsafe,0,1,0,0,0,1,0,1
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Fort Lawn,716,408,8,1,1,1134,7,1141
Precinct,Great Falls,340,278,2,0,0,620,14,634
Precinct,Halsellville,80,86,1,0,0,167,2,169
Precinct,Hazelwood,434,171,6,5,0,616,1,617
Precinct,Lando/Landsford,589,225,7,2,0,823,6,829
Precinct,Lowrys,548,216,10,3,0,777,5,782
Precinct,Provisional,3,0,0,0,0,3,0,3
Precinct,Richburg,604,389,4,2,0,999,6,1005
Precinct,Rodman,687,351,6,2,0,1046,4,1050
Precinct,Rossville,242,75,1,0,2,320,5,325
Precinct,Wilksburg,194,219,6,0,0,419,8,427
County,Chesterfield,11297,7431,109,28,11,18876,200,19076
Precinct,Angelus-Catarrh,333,146,5,1,3,488,4,492
Precinct,Bay Springs,250,33,1,0,0,284,6,290
Precinct,Black Creek,200,90,2,1,0,293,2,295
Precinct,Brocks Mill,491,655,6,3,0,1155,11,1166
Precinct,Cash,342,414,10,4,1,771,6,777
Precinct,Center Grove-Winzo,339,389,3,0,0,731,9,740
Precinct,Cheraw No. 01,587,410,5,2,0,1004,15,1019
Precinct,Cheraw No. 02,349,364,5,1,0,719,13,732
Precinct,Cheraw No. 03,319,736,7,1,1,1064,17,1081
Precinct,Cheraw No. 04,455,518,5,1,0,979,6,985
Precinct,Courthouse,945,480,10,1,0,1436,11,1447
Precinct,Dudley-mangum,500,152,2,0,0,654,3,657
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,2,0,0,0,0,2,0,2
Precinct,Grants Mill,598,309,2,0,1,910,10,920
Precinct,Jefferson,770,477,2,1,2,1252,17,1269
Precinct,Mcbee,674,389,4,2,2,1071,13,1084
Precinct,Middendorf,435,79,6,0,0,520,6,526
Precinct,Mt. Groghan,220,63,4,1,0,288,3,291
Precinct,Ousleydale,483,62,5,0,0,550,2,552
Precinct,Pageland No. 01,720,527,6,2,0,1255,12,1267
Precinct,Pageland No. 02,623,421,4,1,1,1050,11,1061
Precinct,Patrick,318,161,3,1,0,483,5,488
Precinct,Pee Dee,188,33,1,0,0,222,6,228
Precinct,Provisional,16,4,0,0,0,20,0,20
Precinct,Ruby,467,281,5,2,0,755,8,763
Precinct,Shiloh,351,150,4,0,0,505,1,506
Precinct,Snow Hill-Vaughn,322,88,2,3,0,415,3,418
County,Clarendon,8361,8250,67,42,13,16733,139,16872
Precinct,Alcolu,310,340,2,2,0,654,3,657
Precinct,Barrineau,346,57,0,0,0,403,3,406
Precinct,Barrows Mill,82,30,1,2,0,115,1,116
Precinct,Bloomville,227,135,5,0,0,367,4,371
Precinct,Calvary,83,308,4,0,0,395,1,396
Precinct,Davis Station,779,614,5,3,1,1402,10,1412
Precinct,Failsafe,3,3,0,0,0,6,0,6
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Harmony,245,238,1,1,1,486,4,490
Precinct,Hicks,399,69,2,0,0,470,3,473
Precinct,Home Branch,211,57,1,0,0,269,6,275
Precinct,Jordan,1328,547,7,6,0,1888,17,1905
Precinct,Manning No. 01,169,320,2,0,0,491,4,495
Precinct,Manning No. 02,289,386,1,0,2,678,2,680
Precinct,Manning No. 03,655,453,4,7,0,1119,14,1133
Precinct,Manning No. 04,172,952,3,4,2,1133,13,1146
Precinct,Manning No. 05,332,433,4,3,0,772,5,777
Precinct,New Zion,229,130,1,0,0,360,3,363
Precinct,Oakdale,110,92,1,0,3,206,3,209
Precinct,Panola,45,118,0,0,1,164,0,164
Precinct,Paxville,247,418,11,3,0,679,10,689
Precinct,Provisional,0,0,0,0,0,0,0,0
Precinct,Sardinia-gable,78,146,0,0,0,224,2,226
Precinct,Summerton No. 01,984,754,5,6,2,1751,9,1760
Precinct,Summerton No. 02,49,244,0,0,0,293,2,295
Precinct,Summerton No. 03,131,593,2,2,0,728,7,735
Precinct,Turbeville,530,210,3,3,0,746,5,751
Precinct,Wilson-Foreston,328,603,2,0,1,934,8,942
County,Colleton,10440,8602,178,56,7,19283,180,19463
Precinct,Ashton-lodge,266,90,8,1,0,365,4,369
Precinct,Bells,130,83,3,0,0,216,0,216
Precinct,Berea-smoaks,271,375,7,3,1,657,2,659
Precinct,Canadys,220,178,7,2,2,409,2,411
Precinct,Cottageville,775,417,16,0,1,1209,11,1220
Precinct,Edisto,92,148,0,1,0,241,4,245
Precinct,Edisto Beach,695,247,7,1,0,950,5,955
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,5,3,0,0,0,8,0,8
Precinct,Green Pond,176,475,4,2,0,657,10,667
Precinct,Hendersonville,287,541,8,2,0,838,7,845
Precinct,Horse Pen,307,171,6,3,0,487,2,489
Precinct,Hudsons Mill,284,146,3,1,0,434,5,439
Precinct,Jacksonboro,64,172,0,0,0,236,4,240
Precinct,Maple Cane,570,141,8,5,0,724,6,730
Precinct,Mashawville,267,310,2,1,0,580,8,588
Precinct,Peeples,428,352,5,0,0,785,6,791
Precinct,Peniel,350,278,9,3,1,641,6,647
Precinct,Petits,122,75,2,0,0,199,0,199
Precinct,Provisional,35,28,0,0,0,63,0,63
Precinct,Rice Patch,294,177,4,0,0,475,6,481
Precinct,Ritter,153,363,2,1,0,519,8,527
Precinct,Round O,445,259,6,2,1,713,5,718
Precinct,Ruffin,99,105,2,0,0,206,3,209
Precinct,Sidneys,314,105,3,3,0,425,1,426
Precinct,Sniders,340,137,2,2,0,481,6,487
Precinct,Stokes,387,111,4,3,0,505,4,509
Precinct,Walterboro No. 01,423,493,12,5,0,933,10,943
Precinct,Walterboro No. 02,264,457,7,4,0,732,8,740
Precinct,Walterboro No. 03,175,809,1,2,1,988,16,1004
Precinct,Walterboro No. 04,653,427,17,5,0,1102,7,1109
Precinct,Walterboro No. 05,833,348,8,1,0,1190,8,1198
Precinct,Walterboro No. 06,341,435,9,2,0,787,11,798
Precinct,Williams,132,92,2,1,0,227,4,231
Precinct,Wolf Creek,243,54,4,0,0,301,1,302
County,Darlington,16832,15220,260,77,28,32417,272,32689
Precinct,Antioch,764,491,6,3,0,1264,10,1274
Precinct,Auburn,93,382,2,0,0,477,4,481
Precinct,Bethel,285,224,4,0,0,513,7,520
Precinct,Black Creek-Clyde,653,214,7,1,2,877,8,885
Precinct,Burnt Branch,371,175,7,1,1,555,6,561
Precinct,Darlington No. 01,103,124,1,1,0,229,2,231
Precinct,Darlington No. 02,326,695,9,3,1,1034,11,1045
Precinct,Darlington No. 03,1264,848,13,8,0,2133,22,2155
Precinct,Darlington No. 04,376,664,4,2,1,1047,9,1056
Precinct,Darlington No. 05,142,1045,4,7,1,1199,16,1215
Precinct,Darlington No. 06,650,518,11,5,1,1185,7,1192
Precinct,Dovesville,423,699,4,2,1,1129,10,1139
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,5,2,0,0,0,7,0,7
Precinct,Hartsville No. 01,636,321,18,0,0,975,6,981
Precinct,Hartsville No. 04,173,402,4,3,1,583,7,590
Precinct,Hartsville No. 05,966,729,28,6,2,1731,15,1746
Precinct,Hartsville No. 06,31,986,2,4,4,1027,5,1032
Precinct,Hartsville No. 07,354,319,5,2,0,680,4,684
Precinct,Hartsville No. 08,1565,460,24,2,3,2054,15,2069
Precinct,Hartsville No. 09,687,514,11,5,0,1217,11,1228
Precinct,High Hill,915,915,16,7,2,1855,15,1870
Precinct,Indian Branch,324,137,4,2,2,469,4,473
Precinct,Kelleytown,1125,321,22,3,0,1471,5,1476
Precinct,Lake Swamp,553,432,5,1,0,991,3,994
Precinct,Lamar No. 01,206,410,0,0,0,616,9,625
Precinct,Lamar No. 02,680,444,9,3,1,1137,12,1149
Precinct,Lydia,173,317,4,0,1,495,5,500
Precinct,Mechanicsville,579,667,11,0,1,1258,10,1268
Precinct,New Market,642,122,10,0,0,774,2,776
Precinct,Oates,481,265,2,3,1,752,7,759
Precinct,Palmetto,647,769,6,2,1,1425,15,1440
Precinct,Provisional,19,19,1,0,0,39,0,39
Precinct,Society Hill,192,354,2,1,0,549,3,552
Precinct,Swift Creek,429,236,4,0,1,670,7,677
County,Dillon,6582,6436,38,36,9,13101,113,13214
Precinct,Bermuda,129,71,0,0,1,201,3,204
Precinct,Carolina,79,110,1,0,0,190,2,192
Precinct,East Dillon,1238,371,2,3,0,1614,9,1623
Precinct,Failsafe,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0
Precinct,Floydale,365,86,2,1,0,454,3,457
Precinct,Fork,214,70,1,0,0,285,3,288
Precinct,Hamer,376,253,1,0,0,630,6,636
Precinct,Kemper,209,173,2,0,2,386,1,387
Precinct,Lake View,534,356,1,2,0,893,4,897
Precinct,Latta,920,929,9,0,1,1859,10,1869
Precinct,Little Rock,183,312,0,0,1,496,2,498
Precinct,Manning,147,114,1,1,0,263,4,267
Precinct,Minturn,61,80,1,1,0,143,2,145
Precinct,Mt. Calvary,495,849,4,12,0,1360,16,1376
Precinct,New Holly,186,89,0,0,0,275,2,277
Precinct,Oak Grove,454,201,3,3,0,661,7,668
Precinct,Oakland,259,403,2,4,1,669,9,678
Precinct,Pleasant Hill,202,94,1,0,0,297,0,297
Precinct,Provisional,4,1,0,0,0,5,0,5
Precinct,South Dillon,217,882,3,3,1,1106,17,1123
Precinct,West Dillon,310,992,4,6,2,1314,13,1327
County,Dorchester,41913,33824,1219,239,83,77278,486,77764
Precinct,4 Hole,455,347,8,2,0,812,14,826
Precinct,Archdale,383,413,20,4,1,821,5,826
Precinct,Archdale 02,543,555,13,2,0,1113,6,1119
Precinct,Ashborough East,327,362,11,3,3,706,3,709
Precinct,Ashborough East 02,520,201,8,0,1,730,6,736
Precinct,Ashborough West,239,141,5,3,2,390,3,393
Precinct,Ashborough West 02,600,275,20,5,2,902,6,908
Precinct,Ashley River,820,846,35,14,1,1716,10,1726
Precinct,Bacons Bridge,1106,767,29,2,3,1907,9,1916
Precinct,Bacons Bridge 02,322,267,9,1,0,599,0,599
Precinct,Beech Hill,721,361,15,5,2,1104,6,1110
Precinct,Beech Hill 02,860,461,20,4,1,1346,6,1352
Precinct,Brandymill,299,213,15,2,1,530,5,535
Precinct,Brandymill 02,471,429,12,4,1,917,9,926
Precinct,Briarwood,442,384,9,3,0,838,5,843
Precinct,Briarwood 02,389,288,22,1,1,701,4,705
Precinct,Briarwood 03,342,179,9,1,0,531,3,534
Precinct,Butternut,1021,630,35,3,1,1690,17,1707
Precinct,Carolina,569,747,16,3,1,1336,12,1348
Precinct,Central,694,388,9,1,0,1092,8,1100
Precinct,Central 02,625,448,21,6,1,1101,6,1107
Precinct,Clemson,1025,412,27,5,2,1471,4,1475
Precinct,Clemson 02,1090,692,27,6,1,1816,2,1818
Precinct,Clemson 03,600,433,14,1,1,1049,6,1055
Precinct,Coastal,304,504,19,5,1,833,7,840
Precinct,Coastal 02,639,502,19,1,2,1163,5,1168
Precinct,Coastal 03,264,239,7,2,3,515,5,520
Precinct,Coosaw,1124,1040,45,7,1,2217,11,2228
Precinct,Coosaw 02,748,881,30,14,1,1674,12,1686
Precinct,Coosaw 03,589,453,14,2,1,1059,5,1064
Precinct,Cypress,1210,878,39,4,2,2133,7,2140
Precinct,Cypress 02,429,205,15,2,3,654,3,657
Precinct,Delemars,208,377,7,2,2,596,6,602
Precinct,Dorchester,448,354,14,3,2,821,8,829
Precinct,Dorchester 02,561,293,17,2,0,873,10,883
Precinct,Failsafe,2,1,0,0,0,3,0,3
Precinct,Failsafe Provisional,40,23,2,0,0,65,0,65
Precinct,Flowertown,1253,672,20,6,3,1954,12,1966
Precinct,Flowertown 02,560,414,17,4,0,995,6,1001
Precinct,Flowertown 03,566,440,25,5,0,1036,7,1043
Precinct,Germantown,607,410,11,1,1,1030,5,1035
Precinct,Givhans,516,250,10,3,1,780,8,788
Precinct,Givhans 02,537,356,7,2,1,903,7,910
Precinct,Greenhurst,438,414,11,4,3,870,4,874
Precinct,Greenwave,420,361,13,2,0,796,8,804
Precinct,Grover,343,295,2,2,0,642,8,650
Precinct,Harleyville,304,168,2,0,0,474,4,478
Precinct,Indian Field,144,305,3,1,0,453,6,459
Precinct,Indian Field 02,284,363,6,3,0,656,11,667
Precinct,Irongate,350,161,15,4,0,530,2,532
Precinct,Irongate 02,158,126,7,2,1,294,1,295
Precinct,Irongate 03,307,151,10,2,0,470,0,470
Precinct,Kings Grant,658,602,11,2,1,1274,6,1280
Precinct,Kings Grant 02,772,671,22,2,0,1467,6,1473
Precinct,Knightsville,617,329,17,2,1,966,9,975
Precinct,Lincoln,304,648,5,4,2,963,6,969
Precinct,Miles-Jamison,860,638,21,4,1,1524,8,1532
Precinct,Newington,587,311,18,0,0,916,8,924
Precinct,Newington 02,375,176,11,1,1,564,3,567
Precinct,North Summerville,201,141,4,3,0,349,5,354
Precinct,North Summerville 02,317,674,7,4,1,1003,8,1011
Precinct,Oakbrook,1072,1316,54,8,0,2450,6,2456
Precinct,Oakbrook 02,473,431,22,2,0,928,0,928
Precinct,Patriot,246,768,13,2,2,1031,2,1033
Precinct,Provisional,56,56,4,1,1,118,1,119
Precinct,Reevesville,409,336,6,4,0,755,8,763
Precinct,Ridgeville,357,251,10,0,0,618,6,624
Precinct,Ridgeville 02,212,263,4,1,0,480,8,488
Precinct,Rosinville,524,469,4,0,1,998,7,1005
Precinct,Rosses,483,277,7,1,0,768,8,776
Precinct,Saul Dam,297,112,4,1,0,414,4,418
Precinct,Sawmill Branch,721,389,22,1,1,1134,2,1136
Precinct,Spann,685,336,19,3,4,1047,8,1055
Precinct,St. George No. 01,427,426,5,1,2,861,8,869
Precinct,St. George No. 02,295,230,5,0,1,531,6,537
Precinct,Stallsville,506,269,13,3,0,791,2,793
Precinct,Tranquil,301,208,12,0,1,522,0,522
Precinct,Tranquil 2,427,504,27,5,3,966,3,969
Precinct,Tranquil 3,318,439,13,3,0,773,0,773
